3,1,1
# no solution
3,1,1
3,1,1
4,0,1
4,0,0
4,1,1
4,1,1
4,1,1
4,1,0
4,0,1
# no solution
# no solution
4,0,0
# no solution
4,1,1
3,1,1
3,1,1
# no solution
4,1,1
# no solution
4,1,1
# no solution
4,1,1
4,0,0
3,0,1
# no solution
# no solution
3,0,1
4,0,1
3,0,1
# no solution
3,0,1
3,1,1
3,1,1
4,0,0
# no solution
# no solution
3,0,1
4,1,0
4,0,1
4,1,1
3,1,1
# no solution
# no solution
4,0,0
# no solution
4,1,0
# no solution
# no solution
3,0,1
# no solution
3,1,1
# no solution
4,1,0
3,1,1
3,1,1
4,1,0
3,1,1
4,0,1
# no solution
# no solution
3,1,1
4,0,0
3,1,1
# no solution
4,1,1
# no solution
3,0,1
4,0,1
4,1,1
4,0,1
3,1,1
# no solution
4,1,1
4,0,0
4,1,1
4,0,0
2,1,1
# no solution
4,1,0
3,1,1
4,0,1
4,1,0
# no solution
# no solution
3,1,0
3,1,1
4,1,1
# no solution
4,1,0
4,0,1
# no solution
# no solution
3,0,1
3,1,1
3,1,1
# no solution
4,0,0
4,0,0
# no solution
# no solution
4,1,1
3,0,1
4,1,0
# no solution
4,1,0
4,1,1
4,0,1
4,1,1
4,1,0
# no solution
3,0,1
# no solution
# no solution
4,1,0
4,1,1
3,1,1
4,0,1
4,0,1
# no solution
# no solution
# no solution
4,0,1
3,1,1
4,0,0
4,0,1
4,1,1
# no solution
# no solution
4,1,0
3,1,1
4,0,0
4,1,0
4,0,1
4,0,1
3,1,0
3,1,0
3,1,1
3,0,1
# no solution
4,0,1
4,0,1
3,1,1
# no solution
3,1,1
# no solution
# no solution
# no solution
# no solution
4,1,1
# no solution
4,1,0
# no solution
# no solution
# no solution
# no solution
4,0,1
# no solution
3,0,1
4,0,1
4,1,1
# no solution
4,1,1
3,1,1
4,0,0
4,0,1
4,1,0
# no solution
# no solution
4,1,1
3,0,1
# no solution
3,0,1
2,0,1
# no solution
4,1,1
# no solution
# no solution
# no solution
4,1,0
3,0,1
3,0,1
# no solution
# no solution
3,0,1
4,0,1
# no solution
# no solution
4,0,1
3,1,1
# no solution
4,0,1
# no solution
4,0,1
3,0,1
3,1,1
4,0,1
4,0,1
3,0,1
3,0,0
3,1,1
3,0,1
4,0,0
# no solution
4,0,0
# no solution
4,1,1
4,1,1
4,1,1
3,1,1
# no solution
4,0,1
4,1,0
4,1,1
# no solution
3,1,1
3,1,1
4,1,1
3,1,1
4,0,1
3,0,1
# no solution
4,1,0
3,1,0
3,1,1
3,1,1
# no solution
# no solution
3,1,1
4,1,1
2,1,1
3,0,1
# no solution
2,1,1
# no solution
3,1,1
4,1,1
4,1,0
# no solution
4,0,0
4,0,1
3,1,1
4,1,1
4,0,1
3,0,1
4,0,1
2,0,1
4,0,1
3,0,1
4,1,1
# no solution
# no solution
4,1,0
# no solution
4,1,1
4,1,0
3,0,1
2,1,1
4,1,0
4,0,1
4,0,1
4,0,1
3,0,1
3,0,1
3,0,1
4,0,1
# no solution
4,1,1
# no solution
3,0,1
4,0,1
4,0,1
3,0,1
# no solution
4,1,0
4,1,1
4,0,0
4,1,0
# no solution
4,0,1
4,0,1
# no solution
4,0,1
3,0,1
3,1,1
4,0,1
4,0,1
4,0,1
3,0,1
4,0,0
# no solution
3,0,0
3,0,1
4,1,1
4,0,1
3,0,1
3,0,1
# no solution
3,1,1
4,1,1
3,1,1
# no solution
4,1,1
# no solution
4,1,1
4,0,1
3,0,1
# no solution
4,1,1
# no solution
# no solution
3,1,1
3,1,1
4,1,0
3,1,1
4,0,0
4,0,0
4,0,0
4,0,1
# no solution
4,1,1
4,0,1
# no solution
4,1,0
4,1,0
4,1,1
4,1,0
3,0,1
4,1,1
2,1,1
3,1,1
# no solution
4,0,0
# no solution
# no solution
# no solution
# no solution
# no solution
4,0,1
# no solution
4,0,0
3,1,1
4,1,0
4,1,1
# no solution
# no solution
4,1,0
3,1,1
4,1,0
# no solution
# no solution
3,1,1
3,1,1
4,0,1
4,0,0
4,1,0
3,0,1
3,1,1
# no solution
3,0,1
4,0,0
# no solution
3,1,1
3,1,1
4,0,1
4,0,0
3,1,1
4,1,1
3,0,1
3,0,1
# no solution
# no solution
4,1,0
4,1,1
4,0,1
3,0,1
3,0,1
4,0,0
# no solution
# no solution
4,0,1
4,1,0
4,0,0
# no solution
# no solution
# no solution
# no solution
# no solution
# no solution
# no solution
# no solution
3,0,1
4,0,0
4,0,1
4,1,1
4,1,1
4,0,1
3,1,1
# no solution
# no solution
4,1,1
4,0,0
3,1,1
# no solution
4,1,1
3,0,1
4,1,1
4,0,1
3,1,1
# no solution
# no solution
4,0,1
4,0,1
# no solution
# no solution
4,1,0
3,0,1
4,0,1
4,1,0
# no solution
4,1,1
3,1,1
4,1,0
# no solution
4,0,0
# no solution
4,0,0
# no solution
4,1,0
4,0,1
# no solution
2,1,1
4,1,1
4,0,1
# no solution
3,0,1
4,0,1
3,1,1
3,1,1
# no solution
3,0,1
